time,temperature_2m (°C),precipitation (mm),wind_speed_10m (km/h),relative_humidity_2m (%),weather_code (wmo code)
2024-01-19T07:00,-1.3,1,8.7,93,73
2024-01-19T08:00,-1.6,0.6,9.4,93,73
2024-01-19T09:00,-1.8,0.9,8.9,93,73
2024-01-19T10:00,-1.8,0.6,8.8,92,73
2024-01-19T11:00,-1.8,0.6,10.1,91,73
2024-01-19T12:00,-1.4,0.5,11.5,88,73
2024-01-19T13:00,-0.8,0.3,12.4,84,73
2024-01-19T14:00,-0.7,0.3,13.1,83,73
2024-01-19T15:00,-0.3,0.3,15.6,80,73
2024-01-19T16:00,0.1,0.2,16.8,76,71
2024-01-19T17:00,0,0.2,14.2,78,71
2024-01-19T18:00,-0.5,0.1,14.8,80,71
2024-01-19T19:00,-1.7,0,14.2,84,1
2024-01-19T20:00,-2,0,17,78,1
2024-01-19T21:00,-3.1,0,14.9,83,0
2024-01-19T22:00,-4.3,0,12.6,86,0
2024-01-19T23:00,-5,0,14,86,0
2024-01-20T00:00,-5.1,0,16.1,86,0
2024-01-20T01:00,-5,0,17.6,84,0
2024-01-20T02:00,-5.2,0,18.1,82,0
2024-01-20T03:00,-5.7,0,19.2,80,0
2024-01-20T04:00,-6.4,0,19.1,78,0
2024-01-20T05:00,-7.3,0,17.8,78,0
2024-01-20T06:00,-7.9,0,16.3,79,0
2024-01-20T07:00,-8.5,0,13.8,79,0
2024-01-20T08:00,-9.2,0,11,81,0
2024-01-20T09:00,-9.5,0,11.4,82,3
2024-01-20T10:00,-7.3,0,11.5,71,3
2024-01-20T11:00,-6,0,23.1,59,3
2024-01-20T12:00,-5.6,0,25.4,56,3
2024-01-20T13:00,-5.3,0,25.2,54,3
2024-01-20T14:00,-4.9,0,26.4,50,2
2024-01-20T15:00,-4.6,0,25,49,1
2024-01-20T16:00,-4.9,0,23.1,51,1
2024-01-20T17:00,-5.3,0,22.2,53,3
2024-01-20T18:00,-6.1,0,17.9,57,0
2024-01-20T19:00,-7.2,0,19.2,60,1
2024-01-20T20:00,-7.7,0,21.6,62,1
2024-01-20T21:00,-8,0,21.6,65,1
2024-01-20T22:00,-8.4,0,20.8,66,2
2024-01-20T23:00,-8.6,0,20.5,66,1
2024-01-21T00:00,-8.6,0,20.5,67,0
2024-01-21T01:00,-8.4,0,19.1,68,0
2024-01-21T02:00,-8.3,0,18.9,69,0
2024-01-21T03:00,-8.1,0,20.7,69,0
2024-01-21T04:00,-8.1,0,20.7,71,1
2024-01-21T05:00,-8,0,21.7,71,1
2024-01-21T06:00,-7.8,0,22.9,72,0
